id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
207941719,8945075131861,Đặc điểm nổi bậtBộ cây lau nhà Lock&Lock Mini Spin Mop có thiết kế trục cố định ở giữa giúp sản phẩm hoạt động ổn định hơn.Sản phẩm chỉ với một ngăn giặt giúp quá trình giặt sấy dễ dàng và hiệu...,514000,934000,,420000,45,118,,available,,1000,1000,,48077,LocknLock
201040328,4080016476690,Đặc điểm nổi bậtBình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml có khả năng giữ nóng lên đến 16 giờ với nhiệt độ nước trên 60℃ và giữ lạnh trong suốt 25 giờ với nhiệt độ nước đ...,391000,715000,,324000,45,381,,available,,1000,1000,,48077,LocknLock
197852361,6932455538870,"Ghế quầy bar gỗ không lưng tựa cao 75 cm chân cố định Ghế studio chụp ảnh đẹp CB Nemo-75W tại HCMChất liệu: gỗ cao suMàu sắc: màu gỗ tự nhiên, màu walnutKích thước: 450*450*750 mmGhế quầy bar gỗ t...",1380000,1380000,,0,0,2,,available,,1000,1000,,368751,Capta
174236741,8584642860617,Găng tay cao su tự nhiên Lock&Lock ETM83có móc treo tiện lợi có thể móc lên sau khi sử dụng hoặc giặt rửa.Chất liệu 100% cao su tự nhiên không chứa BPA độc hại.Bảo vệ da và móng giúp tay bạn tr...,30800,56000,,25200,45,143,,available,,1000,1000,,48077,LocknLock
134360863,2656755417428,"QUY CÁCH ĐÓNG GÓI : Vỉ 6 Viên PinHỌA TIẾT BAO BÌ CÓ THỂ THAY ĐỔI TÙY ĐỢT NHẬP HÀNGkích thước : AA là pin to hay lắp đồng hồ , chuột không dây , khoá từ , đồ chơi trẻ em- AAA là pin nhỏ , hay lắp và...",86000,90000,,4000,4,129,,available,,1000,1000,,19312,Energizer
134360700,7066016607732,"       Pin cúc áo LR44 energizer làm từ chất liệu kiềm cao cấp, đảm bảo nguồn năng lượng siêu bền bỉ   - Pin thường dùng cho máy tính , đồng hồ , các máy y tế và đồ chơi trẻ em   - Hạn Dùng : 3 ...",50000,52827,,2827,5,48,,available,,1000,1000,,19312,Energizer
134242996,5405199221002,"Ly Nhựa Có Ống Hút Lock&Lock 750ml - Màu Vàng Ly có dung tích lớn, bạn không cần phải châm nước nhiều lần trong ngày.Họa tiết bắt mắt, dễ thương được in ở thành trong của ly, không dễ bị bay ...",108000,217000,,109000,50,250,,available,,1000,1000,,48077,LocknLock
130767592,5036952192744,"Ổ cắm Điện Quang ĐQ ESK 2W. SM740SL (4 lỗ 3 chấu dây 2 mét màu Trắng Đỏ)TIỆN DỤNG, ĐẢM BẢO AN TOÀN- CHỈ CÓ THỂ LÀ Ổ CẮM ĐIỆN QUANG 1/ ĐIỂM ĐẶC BIỆT SẢN PHẨM:An toàn 99.9% cho người dùng với tính ...",155000,198091,,43091,22,13,,available,,1000,1000,,41391,Điện Quang
120552065,9367707323552,"Chất liệu inox 304 an toàn tuyệt đối cho sức khỏeBình giữ nhiệt inox 304 Elmich EL-8013OL được làm bằng chất liệu inox 304 có khả năng chống ăn mòn tuyệt vời, bình giữ nhiệt Elmich EL-8013OL an toàn ...",157000,389000,,232000,60,278,,available,,1000,1000,,31627,Elmich
99868980,5466758134944,"Đặc điểm nổi bậtBình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 có tay cầm chắc chắn thuận tiện mang đi.Nắp bình và lưới lọc được thiết kế có thể tháo rời, giúp dễ dàng vệ sinh.Nắp cũng được trang...",246000,473000,,227000,48,2277,,available,,1000,1000,,48077,LocknLock
